name	fips
wabash county	17177
warren county	17179
washington county	17181
wayne county	17183
white county	17185
whiteside county	17187
will county	17189
williamson county	17191
winnebago county	17193
woodford county	17195
adams county	17993
allen county	17995
bartholomew county	17997
benton county	17999
blackford county	18001
boone county	18003
brown county	18005
carroll county	18007
cass county	18009
clark county	18011
clay county	18013
clinton county	18015
crawford county	18017
daviess county	18019
dearborn county	18021
decatur county	18023
dekalb county	18025
delaware county	18027
dubois county	18029
elkhart county	18031
fayette county	18033
floyd county	18035
fountain county	18037
franklin county	18039
fulton county	18041
gibson county	18043
grant county	18045
greene county	18047
hamilton county	18049
hancock county	18051
harrison county	18053
hendricks county	18055
henry county	18057
howard county	18059
huntington county	18061
jackson county	18063
jasper county	18065
jay county	18067
jefferson county	18069
jennings county	18071
johnson county	18073
knox county	18075
kosciusko county	18077
lagrange county	18079
lake county	18081
laporte county	18083
lawrence county	18085
madison county	18087
marion county	18089
marshall county	18091
martin county	18093
miami county	18095
monroe county	18097
montgomery county	18099
morgan county	18101
newton county	18103
noble county	18105
ohio county	18107
orange county	18109
owen county	18111
parke county	18113
perry county	18115
pike county	18117
porter county	18119
posey county	18121
pulaski county	18123
putnam county	18125
randolph county	18127
ripley county	18129
rush county	18131
st. joseph county	18133
scott county	18135
shelby county	18137
spencer county	18139
starke county	18141
steuben county	18143
sullivan county	18145
switzerland county	18147
tippecanoe county	18149
tipton county	18151
union county	18153
vanderburgh county	18155
vermillion county	18157
vigo county	18159
wabash county	18161
warren county	18163
warrick county	18165
washington county	18167
wayne county	18169
wells county	18171
white county	18173
whitley county	18175
adair county	18993
adams county	18995
allamakee county	18997
appanoose county	18999
audubon county	19001
benton county	19003
black hawk county	19005
boone county	19007
bremer county	19009
buchanan county	19011
buena vista county	19013
butler county	19015
calhoun county	19017
carroll county	19019
cass county	19021
cedar county	19023
cerro gordo county	19025
cherokee county	19027
chickasaw county	19029
clarke county	19031
clay county	19033
clayton county	19035
clinton county	19037
crawford county	19039
dallas county	19041
davis county	19043
decatur county	19045
delaware county	19047
des moines county	19049
dickinson county	19051
dubuque county	19053
emmet county	19055
fayette county	19057
floyd county	19059
franklin county	19061
fremont county	19063
greene county	19065
grundy county	19067
guthrie county	19069
hamilton county	19071
hancock county	19073
hardin county	19075
harrison county	19077
henry county	19079
howard county	19081
humboldt county	19083
ida county	19085
iowa county	19087
jackson county	19089
jasper county	19091
jefferson county	19093
johnson county	19095
jones county	19097
keokuk county	19099
kossuth county	19101
lee county	19103
linn county	19105
louisa county	19107
lucas county	19109
lyon county	19111
madison county	19113
mahaska county	19115
marion county	19117
marshall county	19119
mills county	19121
mitchell county	19123
monona county	19125
monroe county	19127
montgomery county	19129
muscatine county	19131
o'brien county	19133
osceola county	19135
page county	19137
palo alto county	19139
plymouth county	19141
pocahontas county	19143
polk county	19145
pottawattamie county	19147
poweshiek county	19149
ringgold county	19151
sac county	19153
scott county	19155
shelby county	19157
sioux county	19159
story county	19161
tama county	19163
taylor county	19165
union county	19167
van buren county	19169
wapello county	19171
warren county	19173
washington county	19175
wayne county	19177
webster county	19179
winnebago county	19181
winneshiek county	19183
woodbury county	19185
worth county	19187
wright county	19189
allen county	19993
anderson county	19995
atchison county	19997
barber county	19999
barton county	20001
bourbon county	20003
brown county	20005
butler county	20007
chase county	20009
chautauqua county	20011
cherokee county	20013
cheyenne county	20015
clark county	20017
clay county	20019
cloud county	20021
coffey county	20023
comanche county	20025
cowley county	20027
crawford county	20029
decatur county	20031
dickinson county	20033
doniphan county	20035
douglas county	20037
edwards county	20039
elk county	20041
ellis county	20043
ellsworth county	20045
finney county	20047
ford county	20049
franklin county	20051
geary county	20053
gove county	20055
graham county	20057
grant county	20059
gray county	20061
greeley county	20063
greenwood county	20065
hamilton county	20067
harper county	20069
harvey county	20071
haskell county	20073
hodgeman county	20075
jackson county	20077
jefferson county	20079
jewell county	20081
johnson county	20083
kearny county	20085
kingman county	20087
kiowa county	20089
labette county	20091
lane county	20093
leavenworth county	20095
lincoln county	20097
linn county	20099
logan county	20101
lyon county	20103
mcpherson county	20105
marion county	20107
marshall county	20109
meade county	20111
miami county	20113
mitchell county	20115
montgomery county	20117
morris county	20119
morton county	20121
nemaha county	20123
neosho county	20125
ness county	20127
norton county	20129
osage county	20131
osborne county	20133
ottawa county	20135
pawnee county	20137
phillips county	20139
pottawatomie county	20141
pratt county	20143
rawlins county	20145
reno county	20147
republic county	20149
rice county	20151
riley county	20153
rooks county	20155
rush county	20157
russell county	20159
saline county	20161
scott county	20163
sedgwick county	20165
seward county	20167
shawnee county	20169
sheridan county	20171
sherman county	20173
smith county	20175
stafford county	20177
stanton county	20179
stevens county	20181
sumner county	20183
thomas county	20185
trego county	20187
wabaunsee county	20189
wallace county	20191
washington county	20193
wichita county	20195
wilson county	20197
woodson county	20199
wyandotte county	20201
adair county	20993
allen county	20995
anderson county	20997
ballard county	20999
barren county	21001
bath county	21003
bell county	21005
boone county	21007
bourbon county	21009
boyd county	21011
boyle county	21013
bracken county	21015
breathitt county	21017
breckinridge county	21019
bullitt county	21021
butler county	21023
caldwell county	21025
calloway county	21027
campbell county	21029
carlisle county	21031
carroll county	21033
carter county	21035
casey county	21037
christian county	21039
clark county	21041
clay county	21043
clinton county	21045
crittenden county	21047
cumberland county	21049
daviess county	21051
edmonson county	21053
elliott county	21055
estill county	21057
fayette county	21059
fleming county	21061
floyd county	21063
franklin county	21065
fulton county	21067
gallatin county	21069
garrard county	21071
grant county	21073
graves county	21075
grayson county	21077
green county	21079
greenup county	21081
hancock county	21083
hardin county	21085
harlan county	21087
harrison county	21089
hart county	21091
henderson county	21093
henry county	21095
hickman county	21097
hopkins county	21099
jackson county	21101
jefferson county	21103
jessamine county	21105
johnson county	21107
kenton county	21109
knott county	21111
knox county	21113
larue county	21115
laurel county	21117
lawrence county	21119
lee county	21121
leslie county	21123
letcher county	21125
lewis county	21127
lincoln county	21129
livingston county	21131
logan county	21133
lyon county	21135
mccracken county	21137
mccreary county	21139
mclean county	21141
madison county	21143
magoffin county	21145
marion county	21147
marshall county	21149
martin county	21151
mason county	21153
meade county	21155
menifee county	21157
mercer county	21159
metcalfe county	21161
monroe county	21163
montgomery county	21165
morgan county	21167
muhlenberg county	21169
nelson county	21171
nicholas county	21173
ohio county	21175
oldham county	21177
owen county	21179
owsley county	21181
pendleton county	21183
perry county	21185
pike county	21187
powell county	21189
pulaski county	21191
robertson county	21193
rockcastle county	21195
rowan county	21197
russell county	21199
scott county	21201
shelby county	21203
simpson county	21205
spencer county	21207
taylor county	21209
todd county	21211
trigg county	21213
trimble county	21215
union county	21217
warren county	21219
washington county	21221
wayne county	21223
webster county	21225
whitley county	21227
wolfe county	21229
woodford county	21231
acadia parish	21993
allen parish	21995
ascension parish	21997
assumption parish	21999
avoyelles parish	22001
beauregard parish	22003
bienville parish	22005
bossier parish	22007
caddo parish	22009
calcasieu parish	22011
caldwell parish	22013
cameron parish	22015
catahoula parish	22017
claiborne parish	22019
concordia parish	22021
de soto parish	22023
east baton rouge parish	22025
east carroll parish	22027
east feliciana parish	22029
evangeline parish	22031
franklin parish	22033
grant parish	22035
iberia parish	22037
iberville parish	22039
jackson parish	22041
jefferson parish	22043
jefferson davis parish	22045
lafayette parish	22047
lafourche parish	22049
lasalle parish	22051
lincoln parish	22053
livingston parish	22055
madison parish	22057
morehouse parish	22059
natchitoches parish	22061
orleans parish	22063
ouachita parish	22065
plaquemines parish	22067
pointe coupee parish	22069
rapides parish	22071
red river parish	22073
richland parish	22075
sabine parish	22077
st. bernard parish	22079
st. charles parish	22081
st. helena parish	22083
st. james parish	22085
st. john the baptist parish	22087
st. landry parish	22089
st. martin parish	22091
st. mary parish	22093
st. tammany parish	22095
tangipahoa parish	22097
tensas parish	22099
terrebonne parish	22101
union parish	22103
vermilion parish	22105
vernon parish	22107
washington parish	22109
webster parish	22111
west baton rouge parish	22113
west carroll parish	22115
west feliciana parish	22117
winn parish	22119
androscoggin county	22993
aroostook county	22995
cumberland county	22997
franklin county	22999
hancock county	23001
kennebec county	23003
knox county	23005
lincoln county	23007
oxford county	23009
penobscot county	23011
piscataquis county	23013
sagadahoc county	23015
somerset county	23017
waldo county	23019
washington county	23021
york county	23023
allegany county	23993
anne arundel county	23995
baltimore county	23997
calvert county	24001
caroline county	24003
carroll county	24005
cecil county	24007
charles county	24009
dorchester county	24011
frederick county	24013
garrett county	24015
harford county	24017
howard county	24019
kent county	24021
montgomery county	24023
prince george's county	24025
queen anne's county	24027
st. mary's county	24029
somerset county	24031
talbot county	24033
washington county	24035
wicomico county	24037
worcester county	24039
baltimore city	24502
barnstable county	24993
berkshire county	24995
bristol county	24997
dukes county	24999
essex county	25001
franklin county	25003
hampden county	25005
hampshire county	25007
middlesex county	25009
nantucket county	25011
norfolk county	25013
plymouth county	25015
suffolk county	25017
worcester county	25019
alcona county	25993
alger county	25995
allegan county	25997
alpena county	25999
antrim county	26001
arenac county	26003
baraga county	26005
barry county	26007
bay county	26009
benzie county	26011
berrien county	26013
branch county	26015
calhoun county	26017
cass county	26019
charlevoix county	26021
cheboygan county	26023
chippewa county	26025
clare county	26027
clinton county	26029
crawford county	26031
delta county	26033
dickinson county	26035
eaton county	26037
emmet county	26039
genesee county	26041
gladwin county	26043
gogebic county	26045
grand traverse county	26047
gratiot county	26049
hillsdale county	26051
houghton county	26053
huron county	26055
ingham county	26057
ionia county	26059
iosco county	26061
iron county	26063
isabella county	26065
jackson county	26067
kalamazoo county	26069
kalkaska county	26071
kent county	26073
keweenaw county	26075
lake county	26077
lapeer county	26079
leelanau county	26081
lenawee county	26083
livingston county	26085
luce county	26087
mackinac county	26089
macomb county	26091
manistee county	26093
marquette county	26095
mason county	26097
mecosta county	26099
menominee county	26101
midland county	26103
missaukee county	26105
monroe county	26107
montcalm county	26109
montmorency county	26111
muskegon county	26113
newaygo county	26115
oakland county	26117
oceana county	26119
ogemaw county	26121
ontonagon county	26123
osceola county	26125
oscoda county	26127
otsego county	26129
ottawa county	26131
presque isle county	26133
roscommon county	26135
saginaw county	26137
st. clair county	26139
st. joseph county	26141
sanilac county	26143
schoolcraft county	26145
shiawassee county	26147
tuscola county	26149
van buren county	26151
washtenaw county	26153
wayne county	26155
wexford county	26157
aitkin county	26993
anoka county	26995
becker county	26997
beltrami county	26999
benton county	27001
big stone county	27003
blue earth county	27005
brown county	27007
carlton county	27009
carver county	27011
cass county	27013
chippewa county	27015
chisago county	27017
clay county	27019
clearwater county	27021
cook county	27023
cottonwood county	27025
crow wing county	27027
dakota county	27029
dodge county	27031
douglas county	27033
faribault county	27035
fillmore county	27037
freeborn county	27039
goodhue county	27041
grant county	27043
hennepin county	27045
houston county	27047
hubbard county	27049
isanti county	27051
itasca county	27053
jackson county	27055
kanabec county	27057
kandiyohi county	27059
kittson county	27061
koochiching county	27063
lac qui parle county	27065
lake county	27067
lake of the woods county	27069
le sueur county	27071
lincoln county	27073
lyon county	27075
mcleod county	27077
mahnomen county	27079
marshall county	27081
martin county	27083
meeker county	27085
mille lacs county	27087
morrison county	27089
mower county	27091
murray county	27093
nicollet county	27095
nobles county	27097
norman county	27099
olmsted county	27101
otter tail county	27103
pennington county	27105
pine county	27107
pipestone county	27109
polk county	27111
pope county	27113
ramsey county	27115
red lake county	27117
redwood county	27119
renville county	27121
rice county	27123
rock county	27125
roseau county	27127
st. louis county	27129
scott county	27131
sherburne county	27133
sibley county	27135
stearns county	27137
steele county	27139
stevens county	27141
swift county	27143
todd county	27145
traverse county	27147
wabasha county	27149
wadena county	27151
waseca county	27153
washington county	27155
watonwan county	27157
wilkin county	27159
winona county	27161
wright county	27163
yellow medicine county	27165
adams county	27993
alcorn county	27995
amite county	27997
attala county	27999
benton county	28001
bolivar county	28003
calhoun county	28005
carroll county	28007
chickasaw county	28009
choctaw county	28011
claiborne county	28013
clarke county	28015
clay county	28017
coahoma county	28019
copiah county	28021
covington county	28023
desoto county	28025
forrest county	28027
franklin county	28029
george county	28031
greene county	28033
grenada county	28035
hancock county	28037
harrison county	28039
hinds county	28041
holmes county	28043
humphreys county	28045
issaquena county	28047
itawamba county	28049
jackson county	28051
jasper county	28053
jefferson county	28055
jefferson davis county	28057
jones county	28059
kemper county	28061
lafayette county	28063
lamar county	28065
lauderdale county	28067
lawrence county	28069
leake county	28071
lee county	28073
leflore county	28075
lincoln county	28077
lowndes county	28079
madison county	28081
marion county	28083
marshall county	28085
monroe county	28087
montgomery county	28089
neshoba county	28091
newton county	28093
noxubee county	28095
oktibbeha county	28097
panola county	28099
pearl river county	28101
perry county	28103
pike county	28105
pontotoc county	28107
prentiss county	28109
quitman county	28111
rankin county	28113
scott county	28115
sharkey county	28117
simpson county	28119
smith county	28121
stone county	28123
sunflower county	28125
tallahatchie county	28127
tate county	28129
tippah county	28131
tishomingo county	28133
tunica county	28135
union county	28137
walthall county	28139
warren county	28141
washington county	28143
wayne county	28145
webster county	28147
wilkinson county	28149
winston county	28151
yalobusha county	28153
yazoo county	28155
adair county	28993
andrew county	28995
atchison county	28997
audrain county	28999
barry county	29001
barton county	29003
bates county	29005
benton county	29007
bollinger county	29009
boone county	29011
buchanan county	29013
butler county	29015
caldwell county	29017
callaway county	29019
camden county	29021
cape girardeau county	29023
carroll county	29025
carter county	29027
cass county	29029
cedar county	29031
chariton county	29033
christian county	29035
clark county	29037
clay county	29039
clinton county	29041
cole county	29043
cooper county	29045
crawford county	29047
dade county	29049
dallas county	29051
daviess county	29053
dekalb county	29055
dent county	29057
douglas county	29059
dunklin county	29061
franklin county	29063
gasconade county	29065
gentry county	29067
greene county	29069
grundy county	29071
harrison county	29073
henry county	29075
hickory county	29077
holt county	29079
howard county	29081
howell county	29083
iron county	29085
jackson county	29087
jasper county	29089
jefferson county	29091
johnson county	29093
knox county	29095
laclede county	29097
lafayette county	29099
lawrence county	29101
lewis county	29103
lincoln county	29105
linn county	29107
livingston county	29109
mcdonald county	29111
macon county	29113
madison county	29115
maries county	29117
marion county	29119
mercer county	29121
miller county	29123
mississippi county	29125
moniteau county	29127
monroe county	29129
montgomery county	29131
morgan county	29133
new madrid county	29135
newton county	29137
nodaway county	29139
oregon county	29141
osage county	29143
ozark county	29145
pemiscot county	29147
perry county	29149
pettis county	29151
phelps county	29153
pike county	29155
platte county	29157
polk county	29159
pulaski county	29161
putnam county	29163
ralls county	29165
randolph county	29167
ray county	29169
reynolds county	29171
ripley county	29173
st. charles county	29175
st. clair county	29177
ste. genevieve county	29178
st. francois county	29179
st. louis county	29181
saline county	29187
schuyler county	29189
scotland county	29191
scott county	29193
shannon county	29195
shelby county	29197
stoddard county	29199
stone county	29201
sullivan county	29203
taney county	29205
texas county	29207
vernon county	29209
warren county	29211
washington county	29213
wayne county	29215
webster county	29217
worth county	29219
wright county	29221
st. louis city	29502
beaverhead county	29993
big horn county	29995
blaine county	29997
broadwater county	29999
carbon county	30001
carter county	30003
cascade county	30005
chouteau county	30007
custer county	30009
daniels county	30011
dawson county	30013
deer lodge county	30015
fallon county	30017
fergus county	30019
flathead county	30021
gallatin county	30023
garfield county	30025
glacier county	30027
golden valley county	30029
granite county	30031
hill county	30033
jefferson county	30035
