fips	name	fips	name
53017	grant county	55035	grant county
54015	grant county	55035	grant county
21079	green county	55037	green county
1055	greene county	5047	greene county
1055	greene county	17053	greene county
1055	greene county	18047	greene county
1055	greene county	28033	greene county
1055	greene county	42051	greene county
1055	greene county	47051	greene county
1055	greene county	51071	greene county
5047	greene county	13125	greene county
5047	greene county	19065	greene county
5047	greene county	29069	greene county
5047	greene county	36031	greene county
5047	greene county	37071	greene county
5047	greene county	39049	greene county
13125	greene county	17053	greene county
13125	greene county	18047	greene county
13125	greene county	28033	greene county
13125	greene county	42051	greene county
13125	greene county	47051	greene county
13125	greene county	51071	greene county
17053	greene county	19065	greene county
17053	greene county	29069	greene county
17053	greene county	36031	greene county
17053	greene county	37071	greene county
17053	greene county	39049	greene county
18047	greene county	19065	greene county
18047	greene county	29069	greene county
18047	greene county	36031	greene county
18047	greene county	37071	greene county
18047	greene county	39049	greene county
19065	greene county	28033	greene county
19065	greene county	42051	greene county
19065	greene county	47051	greene county
19065	greene county	51071	greene county
28033	greene county	29069	greene county
28033	greene county	36031	greene county
28033	greene county	37071	greene county
28033	greene county	39049	greene county
29069	greene county	42051	greene county
29069	greene county	47051	greene county
29069	greene county	51071	greene county
36031	greene county	42051	greene county
36031	greene county	47051	greene county
36031	greene county	51071	greene county
37071	greene county	42051	greene county
37071	greene county	47051	greene county
37071	greene county	51071	greene county
39049	greene county	42051	greene county
39049	greene county	47051	greene county
39049	greene county	51071	greene county
20065	greenwood county	45039	greenwood county
17055	grundy county	19067	grundy county
17055	grundy county	29071	grundy county
17055	grundy county	47053	grundy county
1057	hale county	48181	hale county
12039	hamilton county	17057	hamilton county
12039	hamilton county	20067	hamilton county
12039	hamilton county	31073	hamilton county
12039	hamilton county	36033	hamilton county
12039	hamilton county	48185	hamilton county
17057	hamilton county	18049	hamilton county
17057	hamilton county	19071	hamilton county
17057	hamilton county	39053	hamilton county
17057	hamilton county	47057	hamilton county
18049	hamilton county	20067	hamilton county
18049	hamilton county	31073	hamilton county
18049	hamilton county	36033	hamilton county
18049	hamilton county	48185	hamilton county
19071	hamilton county	20067	hamilton county
